"Data S1. Repartition of the calls according to animal identity (ID), species, call type, emotional valence, context of vocal production, and their respective number of occurrences, along with references to original studies. Related to STAR Methods.",col_1,col_2,col_3,col_4,col_5,col_6
Animal ID,Species,Call type,Valence,Context,Nb of calls,Reference
9918,,,Negative,Short social isolation in familiar pen,3,
9969,,,Positive,Reunion with pen mate,1,
99008,Wild boar,Grunts,Negative,Naturally occurring agonistic interactions,1,"Maigrot, A.L., Hillmann, E., and Briefer, E.F. (2018). Encoding of emotional valence in wild boar (Sus scrofa) calls. Animals, 8, 85"
99020,,,Negative,Naturally occurring agonistic interactions,6,
99023,,,Negative,Naturally occurring agonistic interactions,10,
99023,,,Positive,Food anticipation,10,
99024,,,Negative,Naturally occurring agonistic interactions,6,
99024,,,Positive,Food anticipation,2,
99024,,,Positive,Naturally occurring affiliative interactions,1,
99025,,,Negative,Naturally occurring agonistic interactions,9,
99025,,,Positive,Food anticipation,8,
99025,,,Positive,Naturally occurring affiliative interactions,1,
99026,,,Negative,Naturally occurring agonistic interactions,1,
99027,,,Negative,Naturally occurring agonistic interactions,9,
99027,,,Positive,Food anticipation,11,
99029,,,Negative,Naturally occurring agonistic interactions,10,
99029,,,Positive,Naturally occurring affiliative interactions,4,
99035,,,Negative,Naturally occurring agonistic interactions,10,
99036,,,Negative,Naturally occurring agonistic interactions,6,
99036,,,Positive,Food anticipation,1,
99036,,,Positive,Naturally occurring affiliative interactions,4,
99038,,,Negative,Naturally occurring agonistic interactions,1,
99038,,,Positive,Naturally occurring affiliative interactions,1,
99039,,,Negative,Naturally occurring agonistic interactions,11,
99039,,,Positive,Food anticipation,10,
99045,,,Negative,Naturally occurring agonistic interactions,9,
99045,,,Positive,Food anticipation,6,
99045,,,Positive,Naturally occurring affiliative interactions,4,
99048,,,Negative,Naturally occurring agonistic interactions,16,
99048,,,Positive,Food anticipation,7,
99049,,,Negative,Naturally occurring agonistic interactions,11,
99049,,,Positive,Naturally occurring affiliative interactions,4,
99050,,,Negative,Naturally occurring agonistic interactions,10,
99050,,,Positive,Food anticipation,7,
99050,,,Positive,Naturally occurring affiliative interactions,4,
99052,,,Negative,Naturally occurring agonistic interactions,7,
99059,,,Negative,Naturally occurring agonistic interactions,8,
99059,,,Positive,Food anticipation,10,
99060,,,Negative,Naturally occurring agonistic interactions,9,
99064,,,Negative,Naturally occurring agonistic interactions,8,
99064,,,Positive,Naturally occurring affiliative interactions,9,
